property_id,metro,city,state,zip,beds,baths,sqft,lot_size,age,closed_price,predicted_fair_price,fair_price_low_95,fair_price_high_95,max_offer_price,review_flag,CBSA,CBSA_NAME,Final_City_Score,reno_tier,cost_per_sqft,estimated_reno_cost,estimated_reno_days,warranty_flag,fast_close_flag,eco_upgrade_flag,reno_uplift_pct,eco_uplift_pct,cx_uplift_pct,total_uplift_pct,predicted_sell_price_base,predicted_sell_price_bull,predicted_sell_price_bear,reno_to_fair_ratio,max_offer_price_used,estimated_reno_cost_used,expected_holding_months,buy_closing_cost,holding_cost_monthly,holding_cost_base,sell_closing_cost_base,total_cost,sell_base_used,sell_bull_used,sell_bear_used,profit_base,profit_bull,profit_bear,margin_pct_base,margin_pct_bear,meets_9pct_hurdle_flag,liquidity_flag,stop_loss_price,reno_to_buy_ratio,reno_risk_flag,sell_base_q4_4m,total_cost_q4_4m,profit_base_q4_4m,profit_bull_q4_4m,profit_bear_q4_4m,margin_base_q4_4m,sell_base_m6,total_cost_m6,profit_base_m6,profit_bull_m6,profit_bear_m6,margin_base_m6,sell_base_y1,total_cost_y1,profit_base_y1,profit_bull_y1,profit_bear_y1,margin_base_y1,sell_base_y2,total_cost_y2,profit_base_y2,profit_bull_y2,profit_bear_y2,margin_base_y2,sell_base_y3,total_cost_y3,profit_base_y3,profit_bull_y3,profit_bear_y3,margin_base_y3,buy_if_6m,buy_if_y1,buy_decision,decision_reason,buy_decision_v2
1208,Sheboygan,Sheboygan,WI,53081,3,1,1152,7405,135,155000,206999.2724,155249.4543,258749.0905,196649.3088,OK,43100,"Sheboygan, WI",0.609153251,Heavy,43.182417739312335,41399.85448,90,1,1,1,0.31276643,0.031183766,0.021736399,0.3656865944618829,282696.13138004363,294003.9766352454,271388.2861248419,0.2,196649.3088,41399.85448,9,3932.986176,353.9687558,3185.718803,13569.414306242095,258737.28256480212,282696.13138004363,294003.9766352454,271388.2861248419,23958.84881524151,35266.69407044325,12651.003560039768,0.092599136,0.048895171,TRUE,OK,265960.52040234505,0.21052631576806236,OK,285495.2850203085,257101.79816033482,28393.486859973695,31138.802243913116,25594.333219708817,0.11043674942431495,286905.23832471267,257877.4134306262,29027.824894086458,33176.067667053605,24818.71794941742,0.11256443326276606,291177.01532144495,260206.27126150936,30970.74405993559,39451.62800133691,22489.86011853427,0.1190238187180729,299912.32578108826,264873.19123365224,35039.13454743603,52764.18198496482,17822.940146391396,0.13228645143074144,308909.69555452093,269552.6901,39357.00550166395,67142.92555887706,13143.44132718665,0.14600857996982475,TRUE,TRUE,BUY,PASS,BUY
1209,Sheboygan,Sheboygan,WI,53081,4,2,1932,5662,99,210000,241499.9531,181124.9648,301874.9413,229424.9554,OK,43100,"Sheboygan, WI",0.609153251,Heavy,37.984247072888806,48299.99062,52,1,1,1,0.2081144009155154,0.010688691,0.025578301,0.2443813928004308,300518.0479998167,312538.7699198094,288497.3261,0.2,229424.9554,48299.99062,9,4588.499108,412.9649197,3716.684277,14424.866303991203,300454.99570947123,300518.0479998167,312538.7699198094,288497.3261,63.052290345483925,12083.77421033819,-11957.66963,0.000209856,-0.039798538,FALSE,OK,282727.37955822755,0.21052631583076684,OK,303493.6677365195,298533.0009,4960.666878286458,7879.054251675145,1985.0471415836946,0.016616812,304992.50825033186,299430.875,5561.633207995852,9971.392247,1087.1729574807105,0.018574013809395915,309533.58943981124,302126.6365,7406.952982060262,16422.494422054733,-1608.588458,0.024516054158290147,318819.59712300554,307527.9438631843,11291.653259821236,30134.134869409783,-7009.895863,0.036717487,328384.18503669574,312942.62311968143,15441.561917014304,44979.180336868274,-12424.57512,0.049343109,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
1210,Sheboygan,Sheboygan,WI,53083,3,2,1890,22651,46,384000,348231.6612,261173.7459,435289.5765,330820.0781,REVIEW_REQUIRED,43100,"Sheboygan, WI",0.609153251,Medium,23.861185222407222,47897.64007034965,45,1,1,1,0.1579244972742252,0.029428819,0.026967171,0.2143204866477781,422864.8402945482,439779.4339063301,405950.24668276624,0.1375453337737736,330820.0781,47897.64007034965,6,6616.401562,595.4761406,3572.856843,20297.512334138315,409204.48890996794,422864.8402945482,439779.4339063301,405950.24668276624,13660.351384580252,30574.944996362145,-3254.242227,0.033382702,-0.007952606,FALSE,OK,397831.2417491109,0.14478456188463626,OK,427051.8932,408214.5151680651,18837.378027674917,22943.898147778935,14650.325126483105,0.046145782,429160.94108394085,409506.7017478588,19654.23933608207,25859.29778216168,13358.138546689413,0.047994914984770064,435550.78550338466,413386.2711,22164.514379912638,34850.45959,9478.569171076175,0.053616958,448617.30906848615,421159.1779415569,27458.13112692925,53971.756613397505,1705.6623529912904,0.065196564,462075.82834054076,428950.90055357554,33124.927786965214,74687.89007467608,-6086.060259,0.077223122,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
1211,Sheboygan,Elkhart Lake,WI,53020,2,2,955,11600,29,325000,267221.7738,200416.3304,334027.2173,253860.6852,REVIEW_REQUIRED,43100,"Sheboygan, WI",0.609153251,Medium,28.610744462260048,30123.260961458345,47,1,1,1,0.1872200816502249,0.012915101,0.01695488,0.2170900632518427,325232.96557651163,338242.2841995721,312223.6469534512,0.1127275690640533,253860.6852,30123.260961458345,6,5077.213704000001,456.9492334,2741.6954001599997,15611.182347672559,307414.0376132909,325232.96557651163,338242.2841995721,312223.6469534512,17818.927963220747,30828.246586281224,4809.609340160328,0.057963937175946174,0.01564538,FALSE,OK,305979.1740143822,0.11866059897272484,OK,328453.3033826338,306654.71536126477,21798.58802136901,24956.98661494977,18578.250215246866,0.071085123,330075.4101029387,307646.4749505594,22428.93515237933,27201.35737265268,17586.490625952254,0.072904899,334989.95454380696,310624.06848388107,24365.88605992589,34122.87502722128,14608.897092630563,0.07844172,345039.65318012115,316589.8448187441,28449.808361377043,48841.915303024405,8643.120757767523,0.089863301,355390.8427755248,322570.0927196435,32820.75005588133,64787.57300943113,2662.872857,0.10174765360038182,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
1212,Sheboygan,Elkhart Lake,WI,53020,2,2,955,11600,29,325000,272455.8313,204341.8735,340569.7891,258833.0397,REVIEW_REQUIRED,11540,"Appleton, WI",0.595687503,Medium,29.57256078521102,31041.79554987653,26,1,1,1,0.1256248910851564,0.031019452,0.026488227,0.1831325706236488,322351.36806737224,335245.42279006715,309457.3133446773,0.1139333131603872,258833.0397,31041.79554987653,6,5176.660794,465.8994715,2795.396829,15472.865667233867,313319.75853987044,322351.36806737224,335245.42279006715,309457.3133446773,9031.609527501801,21925.664250196714,-3862.445195,0.028825534558020907,-0.012327487,FALSE,OK,303268.1670777838,0.11992980334294058,OK,325543.1733494796,312541.1662504916,13002.007098988048,16132.421956344508,9810.201816880668,0.041600943,327150.90803748916,313550.1365,13600.771579053137,18330.909647847177,8801.231608936214,0.043376704,332021.9091093934,316579.3413386475,15442.567770745954,25113.10881276714,5772.026729,0.048779455,341982.5663826752,322648.2465,19334.319837390212,39545.75061521452,-296.8784779,0.059923834,352242.0433741555,328731.49509839603,23510.548275759444,55194.141891733394,-6380.127031,0.071519001,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
1213,Sheboygan,Elkhart Lake,WI,53020,2,2,955,11600,29,325000,260333.4892,195250.1169,325416.8615,247316.8148,REVIEW_REQUIRED,31820,,0.597627891,Medium,25.857122950460617,27493.55241768989,44,1,1,1,0.1214584858391186,0.023229405,0.024272823,0.1689607147411373,304319.6216062862,316492.40647053765,292146.8367420348,0.1056089729453443,247316.8148,27493.55241768989,6,4946.336296,445.17026663999997,2671.0216,14607.341837101738,297035.0669506316,304319.6216062862,316492.40647053765,292146.8367420348,7284.554655654589,19457.339519906032,-4888.230209,0.024524224,-0.016456745,FALSE,OK,286303.90000719414,0.1111673399154981,OK,307332.88313365425,296289.3629706653,11043.520162988978,13998.825333781075,8030.258635620936,0.037272752731532806,308850.6840812094,297252.5579494279,11598.126131781493,16063.668920915981,7067.063656858285,0.03901775,313449.2102544748,300144.3088055846,13304.90144889016,22434.490097078786,4175.312800701591,0.044328348,322852.68656210904,305937.71886803105,16914.96769407799,35995.807968792156,-1618.097262,0.055288925329846014,332538.26715897233,311744.66993636056,20793.597222611774,50704.868510672066,-7425.04833,0.066700731,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
1214,Sheboygan,Sheboygan Falls,WI,53085,3,2,2200,11600,23,312000,382601.7513,286951.3135,478252.1891,363471.6638,REVIEW_REQUIRED,43100,"Sheboygan, WI",0.609153251,Medium,23.39517273199944,54269.38001039877,34,1,1,1,0.121995817,0.011528235,0.022637318,0.1561613706200708,442349.3651846475,460043.3397920334,424655.3905772616,0.1418429994792309,363471.6638,54269.38001039877,6,7269.433276,654.2489948399999,3925.4939690399997,21232.769528863082,450168.7405843018,442349.3651846475,460043.3397920334,424655.3905772616,-7819.3754,9874.599207731604,-25513.35001,-0.017369876,-0.056675081,FALSE,OK,416162.2827657164,0.14930842047775272,OK,446729.3467209384,449070.4817083638,-2341.134987,1954.6030242302804,-6721.116524,-0.005213291,448935.5741146367,450484.8786129413,-1549.304498,4941.667091210897,-8135.513428,-0.003439193,455619.84614018694,454731.2176392077,888.6285009792191,14159.109456518665,-12381.85245,0.001954184,469288.4415243925,463238.2981557296,6050.143368662917,33785.44856574037,-20888.93297,0.013060542258164078,483367.0947701243,471765.06144960475,11602.03332051955,55080.11007515335,-29415.69626,0.024592820173816348,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
1215,Sheboygan,Sheboygan,WI,53083,4,2.5,2117,6969,37,365000,348143.5149,261107.6362,435179.3936,330736.3392,OK,43100,"Sheboygan, WI",0.609153251,Medium,21.78975466,49628.91061719199,41,1,1,1,0.1609016191548826,0.030831126,0.018721149,0.2104538939772586,421411.6732736348,438268.1402045802,404555.2063426894,0.1425530233744187,330736.3392,49628.91061719199,6,6614.7267839999995,595.3254105599999,3571.9524633599995,20227.76031713447,410779.68938168645,421411.6732736348,438268.1402045802,404555.2063426894,10631.983891948359,27488.450822893763,-6224.483039,0.025882447858977222,-0.01515285,FALSE,OK,396464.1022158356,0.1500558140579189,OK,425584.3374,409789.32644087705,15795.01100589498,19887.419147322595,11622.346832757758,0.038544223,427686.13763181906,411080.8636708793,16605.273960939783,22789.00884110073,10330.80960275553,0.040394179,434054.02347184386,414958.4746545605,19095.548817283357,31737.89901549241,6453.198619074305,0.046017975,447075.64417599916,422727.4173750799,24348.226800919278,50770.73871517624,-1315.744101,0.057597936164418335,460487.91350127914,430515.11122941336,29972.802271865774,71392.93422625808,-9103.437956,0.06962079,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
1216,Sheboygan,Sheboygan,WI,53081,4,1,1352,6969,99,235000,228852.3613,171639.271,286065.4516,217409.7432,REVIEW_REQUIRED,43100,"Sheboygan, WI",0.609153251,Heavy,44.00412482769283,45770.47226,68,1,1,1,0.2973916093515996,0.010682853,0.026206211,0.3342806730115674,305353.2826556504,317567.4139618764,293139.1513494244,0.2,217409.7432,45770.47226,9,4348.194864,391.3375378,3522.03784,14656.95756747122,285707.4057313112,305353.2826556504,317567.4139618764,293139.1513494244,19645.876924339216,31860.008230565232,7431.745618,0.068762225,0.026011736,FALSE,OK,287276.3683224359,0.21052631582336556,OK,308376.77911646094,283895.84587263013,24480.933243830805,27446.276491786353,21457.43678302027,0.086232094,309899.73547171504,284751.62285320234,25148.112618512707,29628.82320268138,20601.659802448063,0.088315959,314513.88113531994,287321.12707161537,27192.754063704575,36353.35254337406,18032.155584035034,0.094642376,323949.2975693795,292470.0775135702,31479.220055809303,50624.870878318616,12883.205142080202,0.10763227583289682,333667.7764964609,297632.61495519016,36035.16154127073,66048.03034021199,7720.667700460239,0.12107262353185311,FALSE,TRUE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
1217,Sheboygan,Cedar Grove,WI,53013,3,2.5,2280,15681,19,400000,439013.0524,329259.7893,548766.3155,417062.3998,OK,33340,"Milwaukee-Waukesha, WI",0.536452672,Light,12.517996948515048,30541.03304261431,18,1,1,1,0.065097067,0.013459267,0.028093425,0.1066497589741807,485833.6886249794,505267.0361699786,466400.3410799802,0.069567483,417062.3998,30541.03304261431,4,8341.247996,750.7123196,3002.849279,23320.01705399901,482267.5471711733,485833.6886249794,505267.0361699786,466400.3410799802,3566.141453806078,22999.48899880529,-15867.20609,0.007394529,-0.032901252,FALSE,OK,457072.3342583806,0.073228929,OK,490644.2360188866,482498.4534460809,8145.782572805707,12863.805040630512,3335.235178898496,0.016882505041471593,493067.34245236934,484116.1872,8951.155258201354,16080.209617255081,1717.5014308114187,0.018489683871304327,500408.6992837288,488972.8462399133,11435.85304381547,26010.863702564908,-3139.157615,0.023387501231928322,515420.9602622406,498701.9826025618,16718.977659678785,47180.74993646506,-12868.29398,0.033524987,530883.5890701079,508452.7366210195,22430.852449088416,70182.95987034898,-22619.048,0.044115904652525226,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
1218,Sheboygan,Cedar Grove,WI,53013,3,2.5,2280,15681,19,400000,474506.417,355879.8127,593133.0212,450781.0961,REVIEW_REQUIRED,43100,"Sheboygan, WI",0.609153251,Light,14.512761096377783,35089.09529974135,16,1,1,1,0.06498441,0.029945613,0.018996712,0.1139267357189613,528565.3841665103,549707.9995331707,507422.7687998499,0.073948621,450781.0961,35089.09529974135,4,9015.621922,811.405973,3245.623892,25371.138439992494,523502.57565365394,528565.3841665103,549707.9995331707,507422.7687998499,5062.808512856369,26205.423879516777,-16079.80685,0.009671029,-0.030715812,FALSE,OK,497274.3134238529,0.077840654,OK,533799.0451720041,523753.79138191766,10045.253790086485,15178.251802780898,4811.592784592649,0.019179343,536435.2768967225,525503.1424506641,10932.134446058422,18688.227620045538,3062.241715846234,0.020803176161948007,544422.3456915056,530754.9575906937,13667.388100811862,29524.349625807256,-2189.573424,0.025750844,560755.0160622507,541275.7974442494,19479.218618001323,52620.26820524165,-12710.41328,0.035987603,577577.6665441183,551820.1563431391,25757.510200979188,77709.67324532138,-23254.77218,0.046677363820255884,FALSE,FALSE,NO_BUY,BASE_MARGIN_FAIL,NO_BUY
