property_id,metro,city,state,zip,beds,baths,sqft,lot_size,age,closed_price,predicted_fair_price,fair_price_low_95,fair_price_high_95,max_offer_price,review_flag,CBSA,CBSA_NAME,Final_City_Score
642,Lima,Bluffton,OH,45817,4,2,1874,11600,76,300000,213651.2051,160238.4038,267064.0063,202968.6448,REVIEW_REQUIRED,22300,,0.597627891
643,Lima,Bluffton,OH,45817,4,2,1874,11600,76,300000,211103.2211,158327.4158,263879.0264,200548.0601,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
644,Lima,Lima,OH,45805,4,3.5,2957,13721,99,320000,343840.6523,257880.4892,429800.8154,326648.6197,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
645,Lima,Delphos,OH,45833,2,1,1194,8712,105,127000,115659.8545,86744.89088,144574.8181,109876.8618,OK,99999,,0.597627891
646,Lima,Delphos,OH,45833,2,1,1194,8712,105,127000,115659.8545,86744.89088,144574.8181,109876.8618,OK,46780,,0.597627891
647,Lima,Delphos,OH,45833,2,1,1194,8712,105,127000,113111.8706,84833.90292,141389.8382,107456.277,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
648,Lima,Delphos,OH,45833,2,1,1476,6600,105,116500,138953.1612,104214.8709,173691.4515,132005.5031,REVIEW_REQUIRED,99999,,0.597627891
649,Lima,Delphos,OH,45833,2,1,1476,6600,105,116500,138953.1612,104214.8709,173691.4515,132005.5031,REVIEW_REQUIRED,46780,,0.597627891
650,Lima,Delphos,OH,45833,2,1,1476,6600,105,116500,136405.1772,102303.8829,170506.4715,129584.9184,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
651,Lima,Bluffton,OH,45817,3,2,1419,11979,64,285000,200204.8925,150153.6693,250256.1156,190194.6478,REVIEW_REQUIRED,99999,,0.597627891
652,Lima,Bluffton,OH,45817,3,2,1419,11979,64,285000,200204.8925,150153.6693,250256.1156,190194.6478,REVIEW_REQUIRED,22300,,0.597627891
653,Lima,Bluffton,OH,45817,3,2,1419,11979,64,285000,197656.9085,148242.6814,247071.1356,187774.0631,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
654,Lima,Lima,OH,45807,3,2,1704,23958,54,275000,230179.0022,172634.2517,287723.7528,218670.0521,OK,99999,,0.597627891
655,Lima,Lima,OH,45807,3,2,1704,23958,54,275000,227631.0183,170723.2637,284538.7729,216249.4674,OK,30620,"Lima, OH",0.597627891
656,Lima,Lima,OH,45805,4,2.5,2389,10802,45,339900,317962.9692,238472.2269,397453.7115,302064.8207,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
657,Lima,Lima,OH,45801,3,3,1991,17859,23,344900,299081.1022,224310.8267,373851.3778,284127.0471,OK,30620,"Lima, OH",0.597627891
658,Lima,Lima,OH,45801,3,3,1991,17859,23,344900,299548.5866,224661.44,374435.7333,284571.1573,REVIEW_REQUIRED,47540,,0.597627891
659,Lima,Lima,OH,45807,4,3,2068,14897,54,292000,266899.0562,200174.2922,333623.8203,253554.1034,OK,99999,,0.597627891
660,Lima,Lima,OH,45807,4,3,2068,14897,54,292000,266431.5718,199823.6789,333039.4648,253109.9932,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
661,Lima,Lima,OH,45804,5,2.5,3050,45738,60,381000,428925.2841,321693.9631,536156.6051,407479.0199,OK,30620,"Lima, OH",0.597627891
662,Lima,Cridersville,OH,45806,2,1.5,960,41382,8,189500,201700.2712,151275.2034,252125.339,191615.2577,OK,30620,"Lima, OH",0.597627891
663,Lima,Cridersville,OH,45806,2,1.5,960,41382,8,189500,204248.2552,153186.1914,255310.319,194035.8424,OK,47540,,0.597627891
664,Lima,Lima,OH,45805,4,2.5,2678,11600,73,330000,315639.2622,236729.4466,394549.0777,299857.2991,OK,30620,"Lima, OH",0.597627891
665,Lima,Lima,OH,45806,4,3,1431,18774,63,367000,229106.064,171829.548,286382.58,217650.7608,OK,30620,"Lima, OH",0.597627891
666,Lima,Lima,OH,45806,4,3,1431,18774,63,367000,229573.5485,172180.1613,286966.9356,218094.871,OK,47540,,0.597627891
667,Lima,Lima,OH,45807,2,1,747,11600,55,85000,102373.0074,76779.75556,127966.2593,97254.35704,REVIEW_REQUIRED,99999,,0.597627891
668,Lima,Lima,OH,45807,2,1,747,11600,55,85000,99825.02346,74868.76759,124781.2793,94833.77229,OK,30620,"Lima, OH",0.597627891
669,Lima,Lima,OH,45806,3,2.5,2162,130680,8,525000,426516.4564,319887.3423,533145.5705,405190.6336,OK,30620,"Lima, OH",0.597627891
670,Lima,Lima,OH,45806,3,2.5,2162,130680,8,525000,429064.4404,321798.3303,536330.5504,407611.2183,REVIEW_REQUIRED,47540,,0.597627891
671,Lima,Bluffton,OH,45817,3,2.5,1684,22128,20,337200,330308.1276,247731.0957,412885.1595,313792.7213,REVIEW_REQUIRED,99999,,0.597627891
672,Lima,Bluffton,OH,45817,3,2.5,1684,22128,20,337200,330308.1276,247731.0957,412885.1595,313792.7213,REVIEW_REQUIRED,22300,,0.597627891
673,Lima,Bluffton,OH,45817,3,2.5,1684,22128,20,337200,327760.1437,245820.1078,409700.1796,311372.1365,OK,30620,"Lima, OH",0.597627891
674,Lima,Lima,OH,45804,3,2,1416,10802,47,226000,197872.1671,148404.1253,247340.2089,187978.5587,OK,30620,"Lima, OH",0.597627891
675,Lima,Lima,OH,45806,4,2.5,1734,18817,48,274900,248660.0489,186495.0367,310825.0611,236227.0464,OK,30620,"Lima, OH",0.597627891
676,Lima,Lima,OH,45806,4,2.5,1734,18817,48,274900,251208.0328,188406.0246,314010.041,238647.6312,OK,47540,,0.597627891
677,Lima,Lima,OH,45801,4,3.5,1810,522720,19,500000,444593.8572,333445.3929,555742.3215,422364.1644,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
678,Lima,Lima,OH,45801,4,3.5,1810,522720,19,500000,428641.4567,321481.0925,535801.8209,407209.3839,OK,47540,,0.597627891
679,Lima,Bluffton,OH,45817,4,2,1894,16988,105,305000,215840.736,161880.552,269800.92,205048.6992,OK,99999,,0.597627891
680,Lima,Bluffton,OH,45817,4,2,1894,16988,105,305000,215840.736,161880.552,269800.92,205048.6992,OK,22300,,0.597627891
681,Lima,Bluffton,OH,45817,4,2,1894,16988,105,305000,213292.752,159969.564,266615.94,202628.1144,OK,30620,"Lima, OH",0.597627891
682,Lima,Lima,OH,45804,3,2.5,1945,11600,38,332500,255167.9215,191375.9411,318959.9018,242409.5254,OK,30620,"Lima, OH",0.597627891
683,Lima,Lima,OH,45805,3,2.5,2008,11600,30,55000,188292.574,141219.4305,235365.7175,178877.9453,OK,30620,"Lima, OH",0.597627891
684,Lima,Lima,OH,45801,2,1,1202,23958,73,165000,138147.7656,103610.8242,172684.707,131240.3773,OK,30620,"Lima, OH",0.597627891
685,Lima,Lima,OH,45801,2,1,1202,23958,73,165000,140695.7496,105521.8122,175869.6869,133660.9621,OK,47540,,0.597627891
686,Lima,Lima,OH,45801,3,2,1134,8712,65,160000,146441.3899,109831.0424,183051.7374,139119.3204,OK,30620,"Lima, OH",0.597627891
687,Lima,Lima,OH,45801,3,2,1134,8712,65,160000,148989.3739,111742.0304,186236.7173,141539.9052,OK,47540,,0.597627891
688,Lima,Lima,OH,45806,3,2,1616,21605,69,240000,203300.347,152475.2602,254125.4337,193135.3296,OK,30620,"Lima, OH",0.597627891
689,Lima,Lima,OH,45806,3,2,1616,21605,69,240000,205848.3309,154386.2482,257310.4137,195555.9144,OK,47540,,0.597627891
690,Lima,Lima,OH,45805,5,2.5,2440,10454,62,243500,283012.7374,212259.5531,353765.9218,268862.1006,OK,30620,"Lima, OH",0.597627891
691,Lima,Lima,OH,45805,3,1.5,1345,8145,84,148000,141517.1646,106137.8735,176896.4558,134441.3064,OK,30620,"Lima, OH",0.597627891
